Averaged Runs,Iteration,Algorithm,Fitness,Time (ns),Samples,Keep Pct
5,1,MIMIC,0.045936065,1.22E+08,1000,0.1
5,1,MIMIC,0.046176963,1.01E+08,1000,0.2
5,1,MIMIC,0.045310715,1.05E+08,1000,0.3
5,1,MIMIC,0.04690407,1.89E+08,3000,0.1
5,1,MIMIC,0.046539398,1.97E+08,3000,0.2
5,1,MIMIC,0.047252721,2.15E+08,3000,0.3
5,1,MIMIC,0.046828239,2.72E+08,5000,0.1
5,1,MIMIC,0.051003138,2.92E+08,5000,0.2
5,1,MIMIC,0.046794142,3.47E+08,5000,0.3
5,2,MIMIC,0.048821555,1.15E+08,1000,0.1
5,2,MIMIC,0.048543168,1.27E+08,1000,0.2
5,2,MIMIC,0.046799776,1.44E+08,1000,0.3
5,2,MIMIC,0.0464003,2.65E+08,3000,0.1
5,2,MIMIC,0.045577374,2.96E+08,3000,0.2
5,2,MIMIC,0.047731668,3.21E+08,3000,0.3
5,2,MIMIC,0.04732506,3.67E+08,5000,0.1
5,2,MIMIC,0.04700268,4.37E+08,5000,0.2
5,2,MIMIC,0.047387844,4.73E+08,5000,0.3
5,4,MIMIC,0.052809105,1.71E+08,1000,0.1
5,4,MIMIC,0.049240094,1.93E+08,1000,0.2
5,4,MIMIC,0.047445167,2.10E+08,1000,0.3
5,4,MIMIC,0.049621589,3.88E+08,3000,0.1
5,4,MIMIC,0.047482711,4.43E+08,3000,0.2
5,4,MIMIC,0.046645498,5.19E+08,3000,0.3
5,4,MIMIC,0.051051735,5.77E+08,5000,0.1
5,4,MIMIC,0.047655718,6.83E+08,5000,0.2
5,4,MIMIC,0.047210531,8.22E+08,5000,0.3
5,8,MIMIC,0.063635609,2.75E+08,1000,0.1
5,8,MIMIC,0.054292311,3.25E+08,1000,0.2
5,8,MIMIC,0.047838606,3.59E+08,1000,0.3
5,8,MIMIC,0.060486858,6.39E+08,3000,0.1
5,8,MIMIC,0.051563628,7.64E+08,3000,0.2
5,8,MIMIC,0.050322154,9.05E+08,3000,0.3
5,8,MIMIC,0.055493151,9.89E+08,5000,0.1
5,8,MIMIC,0.049244358,1.22E+09,5000,0.2
5,8,MIMIC,0.049795282,1.49E+09,5000,0.3
5,16,MIMIC,0.070766204,4.73E+08,1000,0.1
5,16,MIMIC,0.064679269,5.42E+08,1000,0.2
5,16,MIMIC,0.061535771,6.13E+08,1000,0.3
5,16,MIMIC,0.072564559,1.07E+09,3000,0.1
5,16,MIMIC,0.066142803,1.33E+09,3000,0.2
5,16,MIMIC,0.062707793,1.64E+09,3000,0.3
5,16,MIMIC,0.077839486,1.71E+09,5000,0.1
5,16,MIMIC,0.067312228,2.29E+09,5000,0.2
5,16,MIMIC,0.05802569,2.73E+09,5000,0.3
5,32,MIMIC,0.07138255,8.56E+08,1000,0.1
5,32,MIMIC,0.071845889,9.53E+08,1000,0.2
5,32,MIMIC,0.072243184,1.06E+09,1000,0.3
5,32,MIMIC,0.083033046,1.88E+09,3000,0.1
5,32,MIMIC,0.081185737,2.26E+09,3000,0.2
5,32,MIMIC,0.07970152,2.78E+09,3000,0.3
5,32,MIMIC,0.084554136,2.93E+09,5000,0.1
5,32,MIMIC,0.08238392,3.84E+09,5000,0.2
5,32,MIMIC,0.088293107,4.82E+09,5000,0.3
5,64,MIMIC,0.081180317,1.61E+09,1000,0.1
5,64,MIMIC,0.07723692,1.76E+09,1000,0.2
5,64,MIMIC,0.079977593,1.92E+09,1000,0.3
5,64,MIMIC,0.083943027,3.46E+09,3000,0.1
5,64,MIMIC,0.086564064,4.08E+09,3000,0.2
5,64,MIMIC,0.088553752,5.03E+09,3000,0.3
5,64,MIMIC,0.091705274,5.37E+09,5000,0.1
5,64,MIMIC,0.095293837,6.87E+09,5000,0.2
5,64,MIMIC,0.096419131,8.97E+09,5000,0.3
5,128,MIMIC,0.094351252,3.14E+09,1000,0.1
5,128,MIMIC,0.091675749,3.38E+09,1000,0.2
5,128,MIMIC,0.086479653,3.65E+09,1000,0.3
5,128,MIMIC,0.093435945,6.64E+09,3000,0.1
5,128,MIMIC,0.096202442,7.68E+09,3000,0.2
5,128,MIMIC,0.096031722,9.45E+09,3000,0.3
5,128,MIMIC,0.103997505,1.04E+10,5000,0.1
5,128,MIMIC,0.111779868,1.32E+10,5000,0.2
5,128,MIMIC,0.10375618,1.65E+10,5000,0.3
5,256,MIMIC,0.097918768,6.18E+09,1000,0.1
5,256,MIMIC,0.099584249,6.58E+09,1000,0.2
5,256,MIMIC,0.093400808,7.07E+09,1000,0.3
5,256,MIMIC,0.100503785,1.29E+10,3000,0.1
5,256,MIMIC,0.108543646,1.49E+10,3000,0.2
5,256,MIMIC,0.103320529,1.80E+10,3000,0.3
5,256,MIMIC,0.106847816,1.99E+10,5000,0.1
5,256,MIMIC,0.110917877,2.53E+10,5000,0.2
5,256,MIMIC,0.110477683,3.21E+10,5000,0.3
5,512,MIMIC,0.107837461,1.22E+10,1000,0.1
5,512,MIMIC,0.10857612,1.30E+10,1000,0.2
5,512,MIMIC,0.103336768,1.39E+10,1000,0.3
5,512,MIMIC,0.104958322,2.55E+10,3000,0.1
5,512,MIMIC,0.109376707,2.90E+10,3000,0.2
5,512,MIMIC,0.106293101,3.54E+10,3000,0.3
5,512,MIMIC,0.108932223,3.94E+10,5000,0.1
5,512,MIMIC,0.114293958,4.97E+10,5000,0.2
5,512,MIMIC,0.113659853,6.40E+10,5000,0.3
5,1024,MIMIC,0.11054309,2.62E+10,1000,0.1
5,1024,MIMIC,0.110969116,2.69E+10,1000,0.2
5,1024,MIMIC,0.09810158,2.85E+10,1000,0.3
5,1024,MIMIC,0.101180111,5.25E+10,3000,0.1
5,1024,MIMIC,0.111382017,5.84E+10,3000,0.2
5,1024,MIMIC,0.113189476,7.06E+10,3000,0.3
5,1024,MIMIC,0.124856932,7.85E+10,5000,0.1
5,1024,MIMIC,0.120635093,9.92E+10,5000,0.2
5,1024,MIMIC,0.117953537,1.26E+11,5000,0.3
5,2048,MIMIC,0.115546028,1.18E+11,3000,0.2
